date,launch_location,Status Mission,launch_status,time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,cloudcover,pressure_msl
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T00:00,0.4637395757367965,1.4538255218445255,-0.1916224121426942,-1.638773490114183,-1.7990819336786812,2.018684277610275,1.1786957213182503,0.524430366477108
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T01:00,0.5088447361330444,1.375778937404038,-0.1916224121426942,-1.5926556207684541,-2.059816145193126,-1.4445283142068828,1.1515455937402925,0.47717053559638456
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T02:00,0.5088447361330444,1.4538255218445255,-0.1916224121426942,-1.4696746358465105,-1.9138049867450369,-1.1662344452215754,1.0157949558505035,0.3826508738348841
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T03:00,0.4637395757367965,1.4538255218445255,-0.1916224121426942,-1.300575781578838,-1.7990819336786812,-0.5478036252542259,0.9886448282725456,0.2881312120734105
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T04:00,0.6667127975199094,1.2977323529635503,-0.1916224121426942,-1.4235567665007816,-1.6843588806123253,-0.2695097562689185,1.341596486785997,0.1699816348715618
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T05:00,0.7794756985105273,1.2196857685230627,-0.1916224121426942,-1.0699864348501933,-1.194178562965169,-0.12520923160987024,1.0429450834284613,0.07546197311008819
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T06:00,0.7343705381142803,1.2977323529635503,-0.1916224121426942,-1.1314769273111653,-1.1628904575834356,0.0706271947131238,-0.2874111678914711,0.07546197311008819
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T07:00,0.6441602173217855,1.375778937404038,-0.1916224121426942,-1.254457912233109,-1.2358960368074803,0.19431335870659372,-0.6403628264049225,0.1463517194311867
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T08:00,0.9373437598973924,1.375778937404038,-0.1916224121426942,-1.0853590579654364,-1.194178562965169,0.11185591604428044,-0.3417114230473867,0.2881312120734105
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T09:00,1.1854221420767523,0.907499430761112,-0.1916224121426942,-0.8701423343520348,-0.5997045607122349,0.16339181770822625,-0.8575638470285849,0.35902095839453585
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T10:00,1.3658427836617406,0.3611733396776984,0.03028579839388062,-0.8547697112367919,-0.44326403380356794,0.23554208003775037,-0.5317623160930913,0.3826508738348841
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T11:00,1.5462634252467296,-0.10710616696522753,0.03028579839388062,-1.1468495504264082,-0.44326403380356794,0.22523489970496122,0.4999425318693052,0.3826508738348841
2020-07-30,"SLC-41, Cape Canaveral AFS, Florida, USA",Success,1,2020-07-30T12:00,1.7041314866335946,-0.4973390891676658,-0.1916224121426942,-1.638773490114183,-0.6309926660939683,0.21492771937217203,1.1243954661623348,0.3353910429541607
